#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 3.4156502553198661e-03 -1.6739316251010847e-01
#     2 3.4156502553198661e-03 -1.6537531855629614e-01
#     3 3.4156502553198661e-03 -1.6335073707078643e-01
#adaptive measurement: gap=2.0178439538123261e-03 period_steps=6228 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
 18.00000000 +2.0000000000000000e+00 +1.9999982838824375e+00 +1.9073280728898457e-03 +9.9980269200906691e-01 +9.9999889223956340e-01 +1.0822190701995301e-04 +9.0193843334908223e-05
 18.50000000 +2.0000000000000000e+00 +1.9999989219633516e+00 +1.8894653641028268e-03 +9.9985179216307152e-01 +9.9999861446085869e-01 +7.2309111032586257e-05 +7.7284265426257390e-05
 19.00000000 +2.0000000000000000e+00 +1.9999975301191044e+00 +1.8871112961292100e-03 +9.9986180493327514e-01 +9.9999854694820234e-01 +7.8769684579724510e-05 +6.0878433577592221e-05
 19.50000000 +2.0000000000000000e+00 +1.9999978332858614e+00 +1.8949539010491762e-03 +9.9984510529787529e-01 +9.9999873175910203e-01 +8.7443686776301569e-05 +6.8719255870183972e-05
 20.00000000 +2.0000000000000000e+00 +1.9999993936323406e+00 +1.8894031207706749e-03 +9.9986439548028461e-01 +9.9999868422844329e-01 +7.2451610735107115e-05 +6.4468680909449057e-05
 20.50000000 +2.0000000000000000e+00 +1.9999986491666550e+00 +1.8862055446065827e-03 +9.9987716264122206e-01 +9.9999868291341854e-01 +4.8059409656802182e-05 +7.6095035234966443e-05
 21.00000000 +2.0000000000000000e+00 +1.9999983822775034e+00 +1.8967056883862363e-03 +9.9985328035995691e-01 +9.9999868835397832e-01 +7.6597966483343483e-05 +7.1433319571944135e-05
 21.50000000 +2.0000000000000000e+00 +1.9999974520975430e+00 +1.9116751907882947e-03 +9.9982015864840401e-01 +9.9999866700058382e-01 +1.0114973441054352e-04 +8.0024616192274849e-05
 22.00000000 +2.0000000000000000e+00 +2.0000030566242613e+00 +1.9282158132396094e-03 +9.9978202896908852e-01 +9.9999864531515192e-01 +9.2130687807471650e-05 +1.2719502689006456e-04
 22.50000000 +2.0000000000000000e+00 +1.9999998389084650e+00 +1.9443471442195683e-03 +9.9974359923773914e-01 +9.9999839541992042e-01 +1.2689795598957036e-04 +1.3110738594486143e-04
 23.00000000 +2.0000000000000000e+00 +1.9999990731890478e+00 +1.9375236934069217e-03 +9.9976270018328628e-01 +9.9999820296586339e-01 +1.0613581445306308e-04 +1.3296103627630693e-04
 23.50000000 +2.0000000000000000e+00 +2.0000014296487123e+00 +1.9898968114183970e-03 +9.9963123004986321e-01 +9.9999843973032443e-01 +1.6997115767985161e-04 +2.0035906354509635e-04
 24.00000000 +2.0000000000000000e+00 +2.0000033175509433e+00 +1.9978159717093068e-03 +9.9961357317070920e-01 +9.9999877350947874e-01 +2.1006026588956834e-04 +1.7759305532060905e-04
