stage,case_id,window,wc_eV,eta,signal_rms,error_rms_vs_qm,repeat_noise_rms,Q_accuracy,Q_repeat,Q_conservative
coarse,c15_wc2_eta0p0003,10-20,2.0,0.0003,0.0001979433288649269,1.5180259349197287e-05,1.2472474831171793e-05,13.039522205224635,15.870413173351745,13.039522205224635
coarse,c15_wc2_eta0p0003,20-30,2.0,0.0003,0.00014871029264767403,2.9248188327515267e-05,2.5390960618549586e-05,5.08442748598465,5.856820262996763,5.08442748598465
coarse,c15_wc2_eta0p0003,30-40,2.0,0.0003,0.00016828175572510394,4.91051384715801e-05,5.397901788341279e-05,3.42696835734407,3.117540154001491,3.117540154001491
coarse,c15_wc2_eta0p0003,40-50,2.0,0.0003,0.00015800398198245963,8.522911745414654e-05,7.763521982052727e-05,1.8538732618868914,2.0352100805243336,1.8538732618868914
coarse,c16_wc2_eta0p001,0-10,2.0,0.001,0.0005865391661515357,8.212529263875038e-06,7.707734354579312e-06,71.42003971073588,76.09748068225284,71.42003971073588
coarse,c16_wc2_eta0p001,10-20,2.0,0.001,0.0006604351632141742,4.139177066553843e-05,3.617574077037948e-05,15.95571178992913,18.25629964030855,15.95571178992913
coarse,c16_wc2_eta0p001,20-30,2.0,0.001,0.0005041772944097541,0.00010707523197337756,0.00011194942319373405,4.7086266834809125,4.503616722859306,4.503616722859306
coarse,c16_wc2_eta0p001,30-40,2.0,0.001,0.0005811701991079068,0.0002767495396446412,0.00024097380025056662,2.099986145791445,2.411756790587197,2.099986145791445
coarse,c16_wc2_eta0p001,40-50,2.0,0.001,0.000556285498447944,0.0006393013191298435,0.0007595074092923374,0.8701460200412336,0.7324293241145031,0.7324293241145031
coarse,c17_wc2_eta0p003,0-10,2.0,0.003,0.0017528055151339198,2.6601617985667337e-05,1.7821937452695004e-05,65.89093626103165,98.35100812054883,65.89093626103165
coarse,c17_wc2_eta0p003,10-20,2.0,0.003,0.0019892516959888014,0.00017103595271360364,0.0001386573073161355,11.630605521400314,14.346533439116577,11.630605521400314
coarse,c17_wc2_eta0p003,20-30,2.0,0.003,0.001608138724479979,0.0006668839803086503,0.0006993679353366263,2.411422034362998,2.2994172927100736,2.2994172927100736
coarse,c17_wc2_eta0p003,30-40,2.0,0.003,0.001966466028144873,0.002793875412159757,0.0023171736052279884,0.7038488615441626,0.8486485534394783,0.7038488615441626
coarse,c17_wc2_eta0p003,40-50,2.0,0.003,0.0020261821777240708,0.00962929497880677,0.009149881849386308,0.21041853865558374,0.22144353458071908,0.21041853865558374
coarse,c18_wc2_eta0p01,0-10,2.0,0.01,0.005775901774322645,8.932028457793484e-05,0.00011120150530765018,64.66506238325947,51.94085959846524,51.94085959846524
coarse,c18_wc2_eta0p01,10-20,2.0,0.01,0.006814733635185366,0.0010488831532392236,0.0013411662905495243,6.497133273749033,5.0811996120131555,5.0811996120131555
coarse,c18_wc2_eta0p01,20-30,2.0,0.01,0.007050540232465333,0.011915432742477052,0.012234115788247521,0.5917149955730121,0.5763015778580668,0.5763015778580668
coarse,c18_wc2_eta0p01,30-40,2.0,0.01,0.010041995879044767,3.1070876915407024,3.1112128086240083,0.0032319641014268486,0.003227678881756091,0.003227678881756091
coarse,c18_wc2_eta0p01,40-50,2.0,0.01,0.012273208027286908,32.83708502273523,32.836289042948515,0.0003737605825483405,0.00037376964282516997,0.0003737605825483405
coarse,c19_wc4_eta0p00003,0-10,4.0,3e-05,1.7226845807859407e-05,4.902313501132938e-07,4.560662433210769e-07,35.14023695930143,37.7726833769003,35.14023695930143
coarse,c19_wc4_eta0p00003,10-20,4.0,3e-05,1.8550811203606712e-05,1.7168545451488057e-06,1.993259980113251e-06,10.805115235897198,9.306769507584612,9.306769507584612
coarse,c19_wc4_eta0p00003,20-30,4.0,3e-05,1.4296943441404433e-05,3.487196524759097e-06,3.6110852786279265e-06,4.0998387500951345,3.9591818908349685,3.9591818908349685
coarse,c19_wc4_eta0p00003,30-40,4.0,3e-05,1.5841054260347486e-05,6.533630144800272e-06,7.23696831825663e-06,2.4245410146080033,2.1889075043185433,2.1889075043185433
coarse,c19_wc4_eta0p00003,40-50,4.0,3e-05,1.472355072218797e-05,5.165383701276162e-06,1.1044249911732628e-05,2.8504273009864423,1.333141756104841,1.333141756104841
coarse,c20_wc4_eta0p0001,0-10,4.0,0.0001,5.74163066761581e-05,1.4001700574579457e-06,1.1276586968343494e-06,41.006666561916965,50.916387056954015,41.006666561916965
coarse,c20_wc4_eta0p0001,10-20,4.0,0.0001,6.184632799165856e-05,4.237662238166906e-06,3.891520708870826e-06,14.594444888654353,15.892586116958903,14.594444888654353
coarse,c20_wc4_eta0p0001,20-30,4.0,0.0001,4.7728727035572554e-05,9.090897939845901e-06,1.1678307079051624e-05,5.250166413856099,4.086955987070048,4.086955987070048
coarse,c20_wc4_eta0p0001,30-40,4.0,0.0001,5.2914655201187313e-05,1.5387380218447598e-05,1.814560622705082e-05,3.438834580674693,2.916113936292965,2.916113936292965
coarse,c20_wc4_eta0p0001,40-50,4.0,0.0001,4.9194415467976276e-05,3.189332707609836e-05,1.944842109115703e-05,1.542467342795471,2.5294811973371143,1.542467342795471
coarse,c21_wc4_eta0p0003,0-10,4.0,0.0003,0.0001721934436853987,3.253657925953379e-06,3.1016241498957927e-06,52.92303235440554,55.51718563036853,52.92303235440554
coarse,c21_wc4_eta0p0003,10-20,4.0,0.0003,0.00018562933828108588,1.1416802887413545e-05,9.964073652267206e-06,16.259310081085218,18.629864125788366,16.259310081085218
coarse,c21_wc4_eta0p0003,20-30,4.0,0.0003,0.00014382086868623396,2.8596894107106846e-05,2.8015568601072752e-05,5.029247866833618,5.133605201242529,5.029247866833618
coarse,c21_wc4_eta0p0003,30-40,4.0,0.0003,0.00015972303446507328,4.326331959327554e-05,5.909200623172393e-05,3.6918811586039086,2.702955012878289,2.702955012878289
coarse,c21_wc4_eta0p0003,40-50,4.0,0.0003,0.00014862228945529968,7.207195685679982e-05,9.723187787955832e-05,2.0621375627499354,1.528534598903859,1.528534598903859
coarse,c22_wc4_eta0p001,0-10,4.0,0.001,0.0005733441991877085,7.987229905523125e-06,9.37432871030658e-06,71.78260873538198,61.16109397330464,61.16109397330464
coarse,c22_wc4_eta0p001,10-20,4.0,0.001,0.0006199012923103186,3.9464205351033616e-05,4.081083287118854e-05,15.707938036413108,15.189626104101245,15.189626104101245
coarse,c22_wc4_eta0p001,20-30,4.0,0.001,0.0004873877293054716,8.68964205078235e-05,0.000138525709802496,5.60883551309908,3.5183918566478964,3.5183918566478964
coarse,c22_wc4_eta0p001,30-40,4.0,0.001,0.0005448128239915247,0.00029453922142562514,0.0002584022399607693,1.8497123111636147,2.108390484827989,1.8497123111636147
coarse,c22_wc4_eta0p001,40-50,4.0,0.001,0.0005092122238386479,0.0005772527324686289,0.0005489007736987622,0.8821304693716998,0.9276944909502068,0.8821304693716998
