#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 4.4721359549995798e-03 -1.6996561506240432e-01
#     2 4.4721359549995798e-03 -1.6538935211869343e-01
#     3 4.4721359549995798e-03 -1.6077828451849061e-01
#adaptive measurement: gap=4.5762629437108848e-03 period_steps=2746 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
 48.50000000 +2.0000000000000000e+00 +1.9999693417929121e+00 +2.3072923214876397e-03 +9.9879737504241284e-01 +9.9997758497082667e-01 +6.1038667826181301e-04 +6.1465338016350923e-04
 49.00000000 +2.0000000000000000e+00 +1.9999661832943896e+00 +2.3106959084216506e-03 +9.9878158247207449e-01 +9.9997501309480641e-01 +6.3737585143322376e-04 +6.0602859694951097e-04
 49.50000000 +2.0000000000000000e+00 +1.9999653921044194e+00 +2.3031760472138293e-03 +9.9879719917537357e-01 +9.9997471881149735e-01 +6.1027875238888179e-04 +6.1780327325422404e-04
 50.00000000 +2.0000000000000000e+00 +1.9999621327134753e+00 +2.3115036700741293e-03 +9.9877019207756945e-01 +9.9997480157787233e-01 +6.4327505233798996e-04 +6.1173128551223648e-04
 50.50000000 +2.0000000000000000e+00 +1.9999621168143604e+00 +2.2911007337022603e-03 +9.9881804981704903e-01 +9.9997356873439702e-01 +6.1467208696017520e-04 +5.9370935279472810e-04
 51.00000000 +2.0000000000000000e+00 +1.9999584663889649e+00 +2.2988151180497085e-03 +9.9879247348316924e-01 +9.9997321934808203e-01 +6.3747042810201934e-04 +5.9683672608724827e-04
 51.50000000 +2.0000000000000000e+00 +1.9999583878999259e+00 +2.2913705689392265e-03 +9.9880889678566054e-01 +9.9997160688735853e-01 +6.1619739183160814e-04 +6.0329899952263301e-04
 52.00000000 +2.0000000000000000e+00 +1.9999569120237504e+00 +2.2958170252215752e-03 +9.9879439870555642e-01 +9.9997081030039969e-01 +6.3467148488729314e-04 +6.0011950870336164e-04
 52.50000000 +2.0000000000000000e+00 +1.9999538042921712e+00 +2.2758933825425963e-03 +9.9884188691208564e-01 +9.9997146424740935e-01 +5.9470665463853053e-04 +5.9194223340542447e-04
 53.00000000 +2.0000000000000000e+00 +1.9999514283794191e+00 +2.2789853746051532e-03 +9.9883184164143346e-01 +9.9997066009464186e-01 +6.0886528601645422e-04 +5.8863298197307746e-04
 53.50000000 +2.0000000000000000e+00 +1.9999519514954895e+00 +2.2630960607711004e-03 +9.9887042573823492e-01 +9.9996924300428458e-01 +5.8289562601962378e-04 +5.7743563307405808e-04
 54.00000000 +2.0000000000000000e+00 +1.9999476380933514e+00 +2.2625311696193966e-03 +9.9887005882693314e-01 +9.9996948176907330e-01 +5.9121336184829161e-04 +5.6924597923490759e-04
 54.50000000 +2.0000000000000000e+00 +1.9999479053566576e+00 +2.2565498079822584e-03 +9.9888575835758975e-01 +9.9996891937543064e-01 +5.7952916387622440e-04 +5.6579315327169989e-04
 55.00000000 +2.0000000000000000e+00 +1.9999477564541033e+00 +2.2530086559436765e-03 +9.9889619755615178e-01 +9.9996738462236068e-01 +5.8419292118501789e-04 +5.5222484489700851e-04
 55.50000000 +2.0000000000000000e+00 +1.9999449499690580e+00 +2.2542798633616076e-03 +9.9889356532761264e-01 +9.9996677829672842e-01 +5.8830230550312136e-04 +5.5135410967278419e-04
 56.00000000 +2.0000000000000000e+00 +1.9999469668137024e+00 +2.2323532277680209e-03 +9.9895201085968544e-01 +9.9996631072098086e-01 +5.6126887137467724e-04 +5.2040950932228259e-04
 56.50000000 +2.0000000000000000e+00 +1.9999467664844925e+00 +2.2186646937930946e-03 +9.9898689851606259e-01 +9.9996603337998258e-01 +5.4453170003938367e-04 +5.0253640833274439e-04
 57.00000000 +2.0000000000000000e+00 +1.9999470380798043e+00 +2.2244063022653078e-03 +9.9897483971723888e-01 +9.9996495016614284e-01 +5.4304611669678336e-04 +5.1716404805701190e-04
 57.50000000 +2.0000000000000000e+00 +1.9999458409330915e+00 +2.2399616982509557e-03 +9.9893845864468989e-01 +9.9996434231073761e-01 +5.6007574673050192e-04 +5.3712331173869283e-04
 58.00000000 +2.0000000000000000e+00 +1.9999462107993478e+00 +2.2138788603202103e-03 +9.9900722712269663e-01 +9.9996396570147428e-01 +5.2646568889862689e-04 +5.0234147249399890e-04
 58.50000000 +2.0000000000000000e+00 +1.9999439858399504e+00 +2.2257281981380855e-03 +9.9898074313852092e-01 +9.9996241310566836e-01 +5.4074450704143901e-04 +5.1609930089573921e-04
 59.00000000 +2.0000000000000000e+00 +1.9999425227423475e+00 +2.2273635016621732e-03 +9.9897827950562434e-01 +9.9996181306730458e-01 +5.3685834349274952e-04 +5.2304914652816746e-04
 59.50000000 +2.0000000000000000e+00 +1.9999435183742929e+00 +2.2291238502670143e-03 +9.9897808426835943e-01 +9.9996087514477083e-01 +5.3729202532867663e-04 +5.2374860519022323e-04
 60.00000000 +2.0000000000000000e+00 +1.9999431375263839e+00 +2.2331343634890335e-03 +9.9896948206599090e-01 +9.9995994649047104e-01 +5.2688959756597652e-04 +5.4368183988167003e-04
 60.50000000 +2.0000000000000000e+00 +1.9999444228862311e+00 +2.2182542821245327e-03 +9.9901125974024674e-01 +9.9996142699788459e-01 +5.4484277894304356e-04 +4.8247045343329382e-04
 61.00000000 +2.0000000000000000e+00 +1.9999412371321992e+00 +2.2385103459315837e-03 +9.9895983766391383e-01 +9.9995928835259140e-01 +5.5716042474852749e-04 +5.2371353526424209e-04
 61.50000000 +2.0000000000000000e+00 +1.9999406665545267e+00 +2.2397322504241458e-03 +9.9895789096698340e-01 +9.9995892531294484e-01 +5.4384911204466110e-04 +5.3933454600929933e-04
 62.00000000 +2.0000000000000000e+00 +1.9999388121224950e+00 +2.2417694833809106e-03 +9.9895610589248351e-01 +9.9995840159140503e-01 +5.3097604600169676e-04 +5.5451645708516899e-04
 62.50000000 +2.0000000000000000e+00 +1.9999422775874705e+00 +2.2465783657830999e-03 +9.9894744713415728e-01 +9.9995734832858651e-01 +5.5185442727127961e-04 +5.4335013834242308e-04
 63.00000000 +2.0000000000000000e+00 +1.9999416042069482e+00 +2.2509566367630066e-03 +9.9893715158713559e-01 +9.9995790974244902e-01 +5.5890970209505355e-04 +5.4602899463015032e-04
 63.50000000 +2.0000000000000000e+00 +1.9999384818471551e+00 +2.2540148379859813e-03 +9.9893008053582344e-01 +9.9995430199737645e-01 +5.7569769366599727e-04 +5.3991975201746146e-04
 64.00000000 +2.0000000000000000e+00 +1.9999356911676733e+00 +2.2733172740697772e-03 +9.9887859780476118e-01 +9.9995710140001914e-01 +5.9567458496131911e-04 +5.6862618018489904e-04
 64.50000000 +2.0000000000000000e+00 +1.9999412724744692e+00 +2.2601877641213871e-03 +9.9891664651465006e-01 +9.9995532386105979e-01 +5.5645604911808534e-04 +5.7157357621320283e-04
