catalog_id,generation,selection_status,version,case_id,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,min_window_Q,projected_ntraj_Q10,selection_score,rank,source
coarse_c24_wc4_eta0p01,previous_grid,screened_out,v0.61,c24_wc4_eta0p01,4.0,0.01,-17.1948749688398,500000,2,50.0,0.006938464323898786,1.1483149988846102,1.1423319233915195,0.006042300527850204,0.006073947669516995,0.006042300527850204,,,,0.003271661350500532,1369510480357,0.005050080629572688,32,v0.61 coarse grid with matching exact QM
coarse_c30_wc7_eta0p01,previous_grid,screened_out,v0.61,c30_wc7_eta0p01,7.0,0.01,-17.1948749688398,500000,2,50.0,0.005738615140058342,1.1521778700189267,1.1420698532604732,0.004980667733154843,0.005024749689062609,0.004980667733154843,,,,0.0023937925050363466,2015555974903,0.0037857805046686978,33,v0.61 coarse grid with matching exact QM
coarse_c12_wc1_eta0p01,previous_grid,screened_out,v0.61,c12_wc1_eta0p01,1.0,0.01,-17.1948749688398,500000,2,50.0,0.00965658357359857,3.7091477518168974,3.7225785222741097,0.0026034507708322936,0.0025940577252617355,0.0025940577252617355,,,,0.0013561949517788706,7430374991531,0.0025577358934783705,34,v0.61 coarse grid with matching exact QM
coarse_c06_wc0p5_eta0p01,previous_grid,screened_out,v0.61,c06_wc0p5_eta0p01,0.5,0.01,-17.1948749688398,500000,2,50.0,0.00993279287970859,4.831411991447973,4.835050532067309,0.0020558778463295024,0.002054330728051699,0.002054330728051699,,,,0.0014409467106261341,11847569904282,0.002054330728051699,35,v0.61 coarse grid with matching exact QM
coarse_c36_wc10_eta0p01,previous_grid,screened_out,v0.61,c36_wc10_eta0p01,10.0,0.01,-17.1948749688398,500000,2,50.0,0.005293469523619559,2.284939090130824,2.2864605485593392,0.0023166786136590103,0.0023151370475011633,0.0023151370475011633,,,,0.0013664712643982016,9328602651914,0.0016900954145622918,36,v0.61 coarse grid with matching exact QM
coarse_c18_wc2_eta0p01,previous_grid,screened_out,v0.61,c18_wc2_eta0p01,2.0,0.01,-17.1948749688398,500000,2,50.0,0.0087285770426254,15.039818199626541,15.039727105314642,0.0005803645314570452,0.0005803680466742612,0.0005803645314570452,,,,0.0003737605825483405,148445924350422,0.0005440475989724182,37,v0.61 coarse grid with matching exact QM
fine_f21_wc4_eta0p0002,previous_grid,retained_top30,v0.61,f21_wc4_eta0p0002,4.0,0.0002,-17.1948749688398,1000000,3,75.0,0.0001051692161449265,3.613003482045437e-05,2.9775356997987292e-05,2.910852886457415,3.5320891753551624,2.910852886457415,,,,1.0898168354849742,11802106,1.1978616805876523,1,v0.61 fine grid with matching exact QM
fine_f12_wc1_eta0p0003,previous_grid,retained_top30,v0.61,f12_wc1_eta0p0003,1.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00017056366622755748,7.816065995728612e-05,7.87491186839094e-05,2.1822188594718686,2.165912064516962,2.165912064516962,,,,0.8394935076658929,21316621,1.1350792338460347,2,v0.61 fine grid with matching exact QM
fine_f06_wc0p5_eta0p0002,previous_grid,retained_top30,v0.61,f06_wc0p5_eta0p0002,0.5,0.0002,-17.1948749688398,1000000,3,75.0,0.00011418553555629441,4.355419042095739e-05,4.292861269904175e-05,2.621688853648182,2.6598934458192556,2.621688853648182,,,,1.1686192459498652,14549153,1.1241617157039152,3,v0.61 fine grid with matching exact QM
fine_f11_wc1_eta0p0002,previous_grid,retained_top30,v0.61,f11_wc1_eta0p0002,1.0,0.0002,-17.1948749688398,1000000,3,75.0,0.00011291340213826918,4.282981322274618e-05,4.218218041803399e-05,2.636327213267015,2.6768033567557294,2.636327213267015,,,,0.9808924646505659,14388032,1.1241238339078117,4,v0.61 fine grid with matching exact QM
fine_f01_wc0p25_eta0p0002,previous_grid,retained_top30,v0.61,f01_wc0p25_eta0p0002,0.25,0.0002,-17.1948749688398,1000000,3,75.0,0.0001147805023523519,4.552250168558879e-05,4.436900268659827e-05,2.521401463063449,2.586952498416683,2.521401463063449,,,,1.0011468184085162,15729540,1.0839722338299853,5,v0.61 fine grid with matching exact QM
fine_f02_wc0p25_eta0p0003,previous_grid,retained_top30,v0.61,f02_wc0p25_eta0p0003,0.25,0.0003,-17.1948749688398,1000000,3,75.0,0.0001734708233068232,8.599590439925317e-05,8.023941273979159e-05,2.0171986621764013,2.161915415175978,2.0171986621764013,,,,0.7998161464048016,24575517,1.0661148384850296,6,v0.61 fine grid with matching exact QM
fine_f07_wc0p5_eta0p0003,previous_grid,retained_top30,v0.61,f07_wc0p5_eta0p0003,0.5,0.0003,-17.1948749688398,1000000,3,75.0,0.00017257104925765337,8.566601751667686e-05,7.763315063658813e-05,2.0144633106594276,2.2229041053026832,2.0144633106594276,,,,0.7967298778588908,24642303,1.061904420217042,7,v0.61 fine grid with matching exact QM
fine_f17_wc2_eta0p0003,previous_grid,retained_top30,v0.61,f17_wc2_eta0p0003,2.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00016613699435291958,8.111918384969951e-05,7.43623691238386e-05,2.048060476800951,2.2341541334736803,2.048060476800951,,,,0.9118108407153749,23840450,1.0592977456142227,8,v0.61 fine grid with matching exact QM
fine_f16_wc2_eta0p0002,previous_grid,retained_top30,v0.61,f16_wc2_eta0p0002,2.0,0.0002,-17.1948749688398,1000000,3,75.0,0.00011019794436433755,3.918853565734792e-05,4.457105027987812e-05,2.8119944395951224,2.472410761522645,2.472410761522645,,,,1.0980509261531124,16359076,1.0414764848355693,9,v0.61 fine grid with matching exact QM
