run,start_au,stop_au,observations,orbital,active,signal_RMS,RMSE,Q
pilot_n256_step10,600,700,11,4,False,5.0349954281346885e-11,1.4343573102018197e-06,3.510279755485922e-05
pilot_n256_step10,600,700,11,5,True,9.10511458541807e-08,0.0001245093541131078,0.0007312795613048259
pilot_n256_step10,600,700,11,6,True,8.840394444618295e-08,0.00012404477862558124,0.0007126776751565082
pilot_n256_step10,600,700,11,7,True,8.583621123501772e-08,0.00011642160411646498,0.0007372876528066863
pilot_n256_step10,600,700,11,8,True,8.333961605747776e-08,0.00010407575718757549,0.0008007591614949769
pilot_n256_step10,600,700,11,9,True,8.090589968987316e-08,8.918019071139929e-05,0.0009072182851873125
pilot_n256_step10,700,800,11,0,True,4.2941797582442956e-07,0.000362611785546556,0.0011842361250812027
pilot_n256_step10,700,800,11,1,False,1.9538202905563857e-11,2.6903195605804472e-06,7.262409712156429e-06
pilot_n256_step10,700,800,11,2,False,2.162366053986634e-11,3.441142032357497e-06,6.283861676308709e-06
pilot_n256_step10,700,800,11,3,False,2.343753740211248e-11,3.661529183625289e-06,6.4010243334744954e-06
pilot_n256_step10,700,800,11,4,False,6.078366218370179e-11,3.340856270944931e-06,1.819403687381908e-05
pilot_n256_step10,700,800,11,5,True,9.106090225654995e-08,6.476779600952957e-05,0.0014059595642740685
pilot_n256_step10,700,800,11,6,True,8.8398349809146e-08,7.474014256594686e-05,0.0011827425901836867
pilot_n256_step10,700,800,11,7,True,8.583797183831543e-08,8.861205908050786e-05,0.0009686940212090992
pilot_n256_step10,700,800,11,8,True,8.33395710051221e-08,9.837767601158402e-05,0.0008471390500758406
pilot_n256_step10,700,800,11,9,True,8.090577787136551e-08,9.974411769518515e-05,0.000811133325361712
pilot_n256_step10,800,900,11,0,True,4.2941803734087884e-07,0.0009787375661589937,0.0004387468634989748
pilot_n256_step10,800,900,11,1,False,1.9690257691192978e-11,2.8832875612419195e-06,6.82909951677237e-06
pilot_n256_step10,800,900,11,2,False,2.088439735736421e-11,3.2350368152579416e-06,6.455690784990037e-06
pilot_n256_step10,800,900,11,3,False,2.5878348680886617e-11,3.635328237722807e-06,7.118572791406858e-06
pilot_n256_step10,800,900,11,4,False,5.644637784716221e-11,3.9971043657626175e-06,1.41218173662555e-05
pilot_n256_step10,800,900,11,5,True,9.105524318035237e-08,0.00014479701637101056,0.0006288475098619664
pilot_n256_step10,800,900,11,6,True,8.840274417185376e-08,0.0001725294817623178,0.0005123921040558172
pilot_n256_step10,800,900,11,7,True,8.58364999777883e-08,0.0002027365626099902,0.0004233893426659023
pilot_n256_step10,800,900,11,8,True,8.333939083391479e-08,0.00023761463445357708,0.0003507334092681773
pilot_n256_step10,800,900,11,9,True,8.090592028040128e-08,0.0002783494532006733,0.00029066311914783237
pilot_n256_step10,900,1000,11,0,True,4.294178651252364e-07,0.002648751754206263,0.00016212084218285595
pilot_n256_step10,900,1000,11,1,False,1.9742662689380455e-11,4.580388751090351e-06,4.310259185900053e-06
pilot_n256_step10,900,1000,11,2,False,2.2705737138423195e-11,5.571722463917621e-06,4.075173752006702e-06
pilot_n256_step10,900,1000,11,3,False,2.8946109198522565e-11,5.948159460211789e-06,4.866397646557364e-06
pilot_n256_step10,900,1000,11,4,False,3.552247637810018e-11,5.2967327221843164e-06,6.7064883658035676e-06
pilot_n256_step10,900,1000,11,5,True,9.103515721747398e-08,0.0005061577934442988,0.00017985529097161307
pilot_n256_step10,900,1000,11,6,True,8.840203464556953e-08,0.0005316660488328265,0.00016627361261761903
pilot_n256_step10,900,1000,11,7,True,8.583785095975943e-08,0.0005429397958540091,0.00015809828569435044
pilot_n256_step10,900,1000,11,8,True,8.333989474259823e-08,0.0005415532231047597,0.00015389049716075037
pilot_n256_step10,900,1000,11,9,True,8.090630098659892e-08,0.0005277116665570352,0.00015331535403501366
pilot_n256_step10,1000,1100,11,0,True,4.294173298161441e-07,0.0018672718076685627,0.00022997044568048492
pilot_n256_step10,1000,1100,11,1,False,1.9266799833552752e-11,2.1519511319115385e-06,8.953177211063529e-06
pilot_n256_step10,1000,1100,11,2,False,2.0057327780642027e-11,2.241533471211191e-06,8.948038491615404e-06
pilot_n256_step10,1000,1100,11,3,False,2.210255588033947e-11,2.9032190351029616e-06,7.6131203374931066e-06
pilot_n256_step10,1000,1100,11,4,False,2.6449747842628048e-11,4.440182057383463e-06,5.956906158531372e-06
pilot_n256_step10,1000,1100,11,5,True,9.102140557306814e-08,0.0005104831621671009,0.00017830442278774576
